intvn,intvs,volgnum
9.825436,7.930175,1
8.478803,7.481297,2
8.229426,6.932668,3
11.421446,15.610973,4
11.17207,14.36409,5
9.625935,7.581047,6
7.182045,8.628429,7
9.027431,8.678304,8
8.927681,10.124688,9
9.825436,15.461347,10
7.581047,12.319202,11
8.578554,7.930175,12
9.775561,11.122195,13
9.625935,9.67581,14
9.177057,9.57606,15
8.029925,6.932668,16
9.476309,10.074813,17
3.640898,13.566085,18
4.588529,13.216958,19
11.27182,10.224439,20
6.234414,10.972569,21
7.431421,10.623441,22
10.822943,13.266833,23
7.032419,11.970075,24
8.179551,10.473815,25
9.276808,13.167082,26
11.970075,10.074813,27
6.932668,13.366584,28
10.673317,9.975062,29
7.680798,11.371571,30
7.830424,9.426434,31
10.573566,16.05985,32
9.825436,13.067332,33
9.67581,14.36409,34
10.872818,8.678304,35
8.72818,9.226933,36
12.01995,10.573566,37
11.670823,19.201995,38
3.740648,10.723192,39
3.391521,12.668329,40
13.665835,9.825436,41
8.129676,13.665835,42
3.690773,10.972569,43
6.783042,12.86783,44
6.633416,12.269327,45
12.418953,12.917706,46
7.581047,8.329177,47
8.129676,8.329177,48
10.224439,9.326683,49
9.326683,11.571072,50
8.628429,18.104738,51
7.830424,12.369077,52
7.98005,7.481297,53
10.822943,12.967581,54
11.27182,12.618454,55
8.229426,8.528678,56
10.673317,9.226933,57
6.733167,16.359102,58
6.433915,14.064838,59
10.723192,10.024938,60
10.32419,8.778055,61
6.433915,14.064838,62
12.967581,9.975062,63
9.326683,9.027431,64
9.127182,16.558603,65
8.578554,11.720698,66
9.975062,8.229426,67
9.625935,7.98005,68
9.526185,11.9202,69
8.628429,12.518703,70
3.740648,13.017456,71
9.57606,15.012469,72
8.229426,11.072319,73
9.127182,9.426434,74
8.528678,9.57606,75
7.281796,8.678304,76
9.027431,9.975062,77
7.531172,16.458853,78
11.371571,11.870324,79
9.476309,13.067332,80
7.281796,9.426434,81
8.129676,12.76808,82
8.72818,16.05985,83
9.027431,9.426434,84
9.67581,9.027431,85
5.436409,8.229426,86
10.42394,13.216958,87
11.022444,9.925187,88
8.029925,11.820449,89
10.822943,15.461347,90
6.683292,9.276808,91
8.927681,8.129676,92
10.274314,11.471322,93
7.331671,10.773067,94
7.13217,19.850374,95
12.169576,8.977556,96
6.882793,11.17207,97
8.379052,8.927681,98
9.226933,9.67581,99
11.471322,11.371571,100
7.930175,11.371571,101
10.32419,10.42394,102
9.077307,11.17207,103
6.783042,10.224439,104
8.129676,13.167082,105
11.221945,10.32419,106
8.379052,8.578554,107
12.069825,17.705736,108
6.733167,10.074813,109
5.835411,10.274314,110
7.281796,14.563591,111
8.329177,12.668329,112
10.024938,10.224439,113
9.725686,9.925187,114
7.481297,8.778055,115
10.822943,11.27182,116
8.72818,11.321696,117
9.326683,10.074813,118
9.725686,9.077307,119
7.281796,8.528678,120
9.226933,11.670823,121
8.72818,14.314214,122
10.573566,11.870324,123
8.678304,11.620948,124
13.466334,8.329177,125
7.531172,8.72818,126
9.127182,14.563591,127
9.625935,10.623441,128
11.122195,12.668329,129
7.630923,9.177057,130
10.374065,13.765586,131
7.880299,10.224439,132
13.566085,10.723192,133
9.725686,10.024938,134
4.987531,10.673317,135
9.526185,8.977556,136
9.925187,11.122195,137
8.578554,13.815461,138
8.478803,7.830424,139
8.72818,10.723192,140
10.972569,11.571072,141
4.239401,11.620948,142
10.922693,12.718204,143
10.673317,9.226933,144
6.234414,9.476309,145
7.13217,12.518703,146
7.780549,11.072319,147
10.274314,17.007481,148
7.182045,9.975062,149
9.027431,7.630923,150
11.521197,7.431421,151
6.832918,7.431421,152
5.835411,8.578554,153
10.573566,9.077307,154
6.633416,6.832918,155
9.226933,5.63591,156
11.421446,8.478803,157
6.184539,9.67581,158
10.623441,10.224439,159
9.67581,11.870324,160
6.832918,8.778055,161
5.087282,8.678304,162
14.164589,11.221945,163
7.082294,8.129676,164
6.633416,9.226933,165
7.98005,7.381546,166
11.471322,8.927681,167
7.680798,7.830424,168
9.376559,11.471322,169
9.326683,15.511222,170
7.13217,12.319202,171
7.780549,8.72818,172
8.578554,9.57606,173
6.832918,8.977556,174
11.820449,9.875312,175
8.578554,12.219451,176
7.082294,12.269327,177
9.875312,12.119701,178
6.533666,7.481297,179
6.184539,10.32419,180
7.880299,12.219451,181
10.573566,13.815461,182
7.98005,12.069825,183
7.13217,8.428928,184
6.982544,6.184539,185
12.169576,7.082294,186
7.880299,10.673317,187
10.523691,14.413965,188
8.678304,12.668329,189
13.067332,13.266833,190
9.177057,8.82793,191
8.179551,8.578554,192
8.678304,9.67581,193
11.870324,13.416459,194
5.735661,8.628429,195
8.977556,7.880299,196
11.471322,7.481297,197
10.42394,12.01995,198
6.284289,12.718204,199
9.925187,10.074813,200
9.326683,9.127182,201
8.628429,6.932668,202
12.369077,8.778055,203
7.531172,18.952618,204
7.281796,9.625935,205
9.526185,7.23192,206
8.977556,10.822943,207
8.329177,14.563591,208
10.374065,8.82793,209
9.077307,8.628429,210
8.578554,10.32419,211
11.17207,9.775561,212
8.927681,5.53616,213
9.127182,4.638404,214
8.628429,4.638404,215
9.376559,4.78803,216
11.770574,6.932668,217
8.229426,9.077307,218
10.972569,11.421446,219
8.977556,11.471322,220
8.428928,10.773067,221
13.516209,7.680798,222
7.680798,7.331671,223
10.723192,6.832918,224
9.67581,8.279302,225
11.970075,9.127182,226
9.625935,10.024938,227
6.034913,10.224439,228
14.413965,7.98005,229
6.433915,8.72818,230
8.877805,8.927681,231
10.473815,8.877805,232
7.630923,12.76808,233
6.932668,7.281796,234
9.276808,5.885287,235
3.690773,5.286783,236
4.389027,8.528678,237
6.832918,13.067332,238
8.72818,11.072319,239
4.688279,8.877805,240
10.473815,6.284289,241
9.426434,10.623441,242
8.129676,17.306733,243
13.366584,7.381546,244
3.740648,8.528678,245
4.738155,10.723192,246
8.229426,11.072319,247
8.72818,9.975062,248
10.473815,12.069825,249
7.930175,6.733167,250
11.870324,7.730673,251
8.478803,5.985037,252
9.376559,5.286783,253
9.326683,6.284289,254
6.483791,20.149626,255
10.124688,10.723192,256
10.124688,8.428928,257
8.877805,9.625935,258
8.179551,8.678304,259
8.578554,5.137157,260
11.471322,5.835411,261
9.426434,10.124688,262
7.98005,26.034913,263
10.074813,10.024938,264
8.478803,7.481297,265
9.226933,11.571072,266
8.129676,7.98005,267
11.9202,7.032419,268
8.179551,7.281796,269
10.024938,6.832918,270
10.773067,8.179551,271
4.438903,14.014963,272
5.685786,7.630923,273
7.630923,8.528678,274
7.331671,8.179551,275
9.177057,9.775561,276
10.42394,10.42394,277
7.381546,10.124688,278
9.226933,13.216958,279
8.379052,8.229426,280
14.214464,6.134663,281
6.533666,8.428928,282
7.830424,20.947631,283
8.478803,10.274314,284
9.426434,8.229426,285
14.36409,6.334165,286
8.0798,6.832918,287
10.374065,6.433915,288
9.975062,11.221945,289
4.438903,16.857855,290
6.184539,8.927681,291
5.985037,7.830424,292
9.526185,8.927681,293
9.027431,8.179551,294
7.780549,12.668329,295
9.226933,10.623441,296
8.578554,10.473815,297
10.024938,9.67581,298
8.279302,10.473815,299
10.374065,10.374065,300
5.436409,10.723192,301
5.386534,12.219451,302
11.471322,12.76808,303
6.533666,9.127182,304
9.376559,10.224439,305
10.673317,15.710723,306
6.034913,11.17207,307
8.179551,14.962594,308
9.925187,17.456359,309
9.925187,10.773067,310
7.281796,14.114713,311
9.825436,13.865337,312
6.932668,9.975062,313
10.673317,6.433915,314
6.284289,6.433915,315
6.184539,10.32419,316
14.613466,7.780549,317
5.885287,7.032419,318
8.329177,6.633416,319
12.169576,8.977556,320
6.733167,12.269327,321
9.177057,9.925187,322
11.870324,9.875312,323
8.72818,19.900249,324
10.922693,18.852868,325
8.129676,8.578554,326
10.673317,7.930175,327
8.678304,6.882793,328
7.13217,5.835411,329
9.57606,7.930175,330
8.279302,11.17207,331
8.478803,10.224439,332
6.982544,14.014963,333
9.027431,10.822943,334
9.526185,8.977556,335
6.583541,9.426434,336
7.331671,10.673317,337
7.481297,8.927681,338
11.022444,13.017456,339
8.82793,9.725686,340
8.528678,7.930175,341
12.917706,12.069825,342
7.780549,14.36409,343
6.783042,8.379052,344
9.077307,11.670823,345
13.665835,10.024938,346
7.182045,11.870324,347
10.623441,10.473815,348
8.379052,7.830424,349
8.129676,8.279302,350
11.521197,14.014963,351
8.428928,9.725686,352
9.177057,10.773067,353
10.374065,7.481297,354
7.98005,8.0798,355
10.32419,16.05985,356
6.38404,13.915212,357
12.169576,7.880299,358
10.274314,9.67581,359
4.438903,9.57606,360
10.773067,8.478803,361
6.234414,11.471322,362
9.57606,10.174564,363
11.072319,6.733167,364
10.573566,12.967581,365
3.640898,12.269327,366
5.286783,14.164589,367
7.281796,9.975062,368
8.129676,10.972569,369
8.628429,5.785536,370
8.528678,5.835411,371
7.23192,6.084788,372
9.127182,8.029925,373
14.264339,23.840399,374
5.685786,9.975062,375
7.23192,9.326683,376
11.022444,8.478803,377
10.32419,6.034913,378
9.875312,9.57606,379
8.279302,7.780549,380
8.927681,10.773067,381
9.625935,9.975062,382
11.421446,11.421446,383
10.523691,8.877805,384
6.733167,9.027431,385
7.830424,12.119701,386
3.690773,15.511222,387
5.935162,7.481297,388
9.925187,8.478803,389
10.224439,8.428928,390
7.581047,17.356608,391
7.23192,7.930175,392
8.029925,11.870324,393
9.625935,6.932668,394
6.882793,12.369077,395
8.428928,27.032419,396
10.374065,9.027431,397
5.735661,7.381546,398
10.922693,10.673317,399
4.438903,13.216958,400
10.024938,9.376559,401
9.875312,11.9202,402
8.82793,8.578554,403
9.077307,13.815461,404
10.224439,7.331671,405
9.027431,9.775561,406
10.42394,7.431421,407
7.481297,7.730673,408
7.730673,7.930175,409
9.67581,10.723192,410
9.426434,15.261845,411
12.01995,14.962594,412
6.533666,10.573566,413
10.673317,11.17207,414
7.331671,9.027431,415
11.820449,9.276808,416
9.625935,6.882793,417
8.428928,18.104738,418
8.678304,14.962594,419
11.521197,12.369077,420
8.977556,12.169576,421
9.975062,9.376559,422
7.13217,7.930175,423
8.778055,10.673317,424
12.219451,12.518703,425
8.129676,7.531172,426
8.0798,10.573566,427
8.877805,13.416459,428
7.830424,10.124688,429
3.591022,7.730673,430
8.379052,11.421446,431
8.179551,9.57606,432
10.224439,9.127182,433
9.825436,8.129676,434
3.640898,9.376559,435
7.431421,24.738155,436
8.927681,13.466334,437
8.628429,9.226933,438
11.421446,8.129676,439
12.01995,6.334165,440
7.680798,10.473815,441
9.226933,15.610973,442
9.725686,14.763092,443
10.124688,21.695761,444
10.024938,7.830424,445
7.730673,11.022444,446
7.680798,11.620948,447
10.573566,8.877805,448
8.72818,13.765586,449
12.917706,14.962594,450
7.13217,8.778055,451
11.27182,10.374065,452
10.024938,12.817955,453
9.625935,12.967581,454
7.531172,11.022444,455
11.321696,13.067332,456
7.182045,12.917706,457
7.531172,10.623441,458
7.780549,15.610973,459
8.82793,7.13217,460
8.927681,9.526185,461
9.426434,12.01995,462
4.438903,10.174564,463
4.738155,11.970075,464
9.077307,12.718204,465
7.281796,11.571072,466
11.072319,10.224439,467
8.82793,11.870324,468
10.274314,15.860349,469
9.476309,7.730673,470
11.670823,9.67581,471
7.730673,21.845387,472
10.32419,11.27182,473
8.977556,7.032419,474
10.124688,6.882793,475
12.219451,8.528678,476
8.528678,13.266833,477
11.720698,11.770574,478
6.034913,10.224439,479
10.523691,17.306733,480
9.276808,14.314214,481
8.478803,8.478803,482
12.069825,9.426434,483
6.284289,7.331671,484
8.778055,9.775561,485
8.329177,15.660848,486
9.925187,11.221945,487
10.872818,9.67581,488
8.279302,16.159601,489
8.379052,12.668329,490
6.583541,7.13217,491
9.825436,8.778055,492
9.526185,9.376559,493
8.877805,12.319202,494
8.678304,15.9601,495
10.623441,12.518703,496
7.830424,8.678304,497
6.483791,12.418953,498
10.872818,8.279302,499
11.620948,10.523691,500
7.032419,15.710723,501
7.431421,13.765586,502
13.566085,15.561097,503
9.925187,11.970075,504
8.229426,8.029925,505
9.875312,7.680798,506
11.221945,9.326683,507
6.633416,14.36409,508
10.673317,17.107232,509
9.725686,20.299252,510
10.224439,8.379052,511
7.281796,9.177057,512
10.074813,10.673317,513
8.578554,10.523691,514
10.822943,10.673317,515
6.583541,9.077307,516
9.875312,9.426434,517
9.925187,12.967581,518
6.583541,8.877805,519
4.78803,9.276808,520
7.23192,12.369077,521
7.13217,17.256858,522
8.478803,12.518703,523
9.326683,8.428928,524
8.72818,9.825436,525
9.725686,14.413965,526
8.877805,13.316708,527
7.281796,15.21197,528
7.830424,10.224439,529
5.586035,8.129676,530
6.783042,6.334165,531
13.61596,8.72818,532
6.982544,15.361596,533
10.074813,19.301746,534
8.72818,12.568579,535
10.723192,8.428928,536
7.481297,7.730673,537
10.074813,11.471322,538
10.42394,12.01995,539
14.563591,15.361596,540
6.633416,11.720698,541
7.98005,10.623441,542
14.114713,14.46384,543
7.930175,10.42394,544
8.678304,7.281796,545
10.673317,13.067332,546
6.034913,9.875312,547
10.623441,15.9601,548
11.27182,13.167082,549
6.483791,13.117207,550
8.279302,9.476309,551
9.925187,9.027431,552
8.528678,10.124688,553
9.127182,14.613466,554
6.38404,18.952618,555
10.523691,10.473815,556
5.735661,8.0798,557
9.127182,12.518703,558
8.778055,13.216958,559
13.466334,10.374065,560
6.832918,8.179551,561
14.812968,8.478803,562
8.129676,16.758105,563
10.124688,10.374065,564
7.431421,19.451372,565
8.778055,9.925187,566
9.426434,9.526185,567
8.528678,10.623441,568
7.730673,10.42394,569
9.725686,16.309227,570
14.064838,12.618454,571
8.229426,10.174564,572
8.778055,11.17207,573
10.922693,11.471322,574
7.431421,9.127182,575
8.678304,10.523691,576
11.221945,11.870324,577
9.625935,10.32419,578
7.680798,18.852868,579
8.379052,14.862843,580
10.972569,9.177057,581
6.832918,9.326683,582
9.975062,11.421446,583
9.226933,15.561097,584
6.034913,10.573566,585
7.780549,15.461347,586
8.778055,9.625935,587
9.625935,7.13217,588
8.029925,7.381546,589
9.775561,12.169576,590
8.977556,15.660848,591
11.371571,13.965087,592
9.625935,18.553616,593
12.269327,12.618454,594
6.783042,13.765586,595
8.628429,13.965087,596
8.428928,18.453865,597
9.775561,17.206983,598
9.775561,9.775561,599
7.531172,9.177057,600
7.880299,7.930175,601
10.024938,12.119701,602
9.276808,17.755611,603
9.625935,16.558603,604
8.129676,12.169576,605
6.783042,8.678304,606
10.723192,15.461347,607
8.628429,13.765586,608
10.872818,7.98005,609
6.733167,7.431421,610
13.067332,12.269327,611
7.581047,21.945137,612
7.680798,10.623441,613
7.531172,12.568579,614
11.17207,17.605985,615
6.084788,11.720698,616
6.982544,10.32419,617
9.975062,12.119701,618
11.221945,14.36409,619
11.371571,8.678304,620
7.481297,10.32419,621
10.673317,11.27182,622
12.169576,19.25187,623
5.785536,10.673317,624
5.386534,11.9202,625
12.119701,15.511222,626
9.077307,11.421446,627
10.922693,10.773067,628
3.740648,15.860349,629
5.486284,9.875312,630
11.371571,10.224439,631
8.528678,5.685786,632
7.680798,5.685786,633
7.930175,9.027431,634
12.668329,10.374065,635
6.184539,8.82793,636
7.431421,9.376559,637
8.428928,15.012469,638
10.523691,13.017456,639
8.877805,11.072319,640
10.274314,11.471322,641
9.077307,8.977556,642
6.184539,11.022444,643
8.129676,13.765586,644
8.528678,9.077307,645
7.630923,8.628429,646
11.620948,10.773067,647
7.331671,14.36409,648
6.483791,13.466334,649
8.0798,10.523691,650
10.274314,16.359102,651
8.678304,11.521197,652
8.428928,14.064838,653
7.581047,14.812968,654
9.226933,16.907731,655
11.870324,12.169576,656
9.226933,12.069825,657
8.229426,12.668329,658
10.32419,19.002494,659
10.573566,19.700748,660
8.428928,10.673317,661
11.421446,9.625935,662
8.129676,10.822943,663
10.174564,13.61596,664
8.0798,11.870324,665
9.825436,15.411471,666
10.673317,12.119701,667
8.628429,11.521197,668
9.426434,9.127182,669
7.23192,16.359102,670
8.478803,12.069825,671
10.42394,10.224439,672
6.683292,11.421446,673
8.778055,15.9601,674
8.179551,17.356608,675
9.127182,9.67581,676
12.119701,11.27182,677
9.077307,21.546135,678
8.977556,9.426434,679
9.177057,7.930175,680
9.177057,8.329177,681
9.725686,9.975062,682
8.0798,26.134663,683
6.334165,8.528678,684
10.723192,11.471322,685
12.119701,14.014963,686
7.182045,10.523691,687
10.32419,10.274314,688
9.476309,16.957606,689
12.269327,12.917706,690
8.927681,14.763092,691
9.376559,12.468828,692
11.072319,10.972569,693
8.678304,10.374065,694
9.67581,11.371571,695
6.483791,13.566085,696
12.219451,14.663342,697
5.835411,19.351621,698
8.628429,8.0798,699
10.673317,8.977556,700
9.426434,8.82793,701
8.0798,9.077307,702
7.581047,13.017456,703
10.224439,23.491272,704
5.685786,9.67581,705
6.932668,7.780549,706
8.229426,11.421446,707
8.329177,10.723192,708
7.431421,17.855362,709
8.179551,12.169576,710
10.374065,15.610973,711
6.483791,13.167082,712
6.733167,14.014963,713
7.730673,12.618454,714
12.668329,9.476309,715
6.433915,7.531172,716
6.882793,13.466334,717
8.329177,15.361596,718
3.740648,11.571072,719
9.226933,10.573566,720
9.276808,11.221945,721
11.720698,16.259352,722
10.274314,11.670823,723
9.625935,12.718204,724
8.72818,13.067332,725
8.578554,15.461347,726
9.975062,10.473815,727
10.723192,10.42394,728
10.473815,19.102244,729
9.127182,13.566085,730
10.374065,12.518703,731
11.072319,8.778055,732
6.832918,20.448878,733
12.568579,16.957606,734
5.735661,13.965087,735
10.872818,9.775561,736
9.426434,9.177057,737
3.690773,10.42394,738
4.738155,19.102244,739
11.421446,13.61596,740
9.57606,15.112219,741
10.473815,13.266833,742
9.077307,8.927681,743
7.381546,13.067332,744
9.177057,15.760599,745
6.533666,13.316708,746
8.478803,11.072319,747
9.975062,12.468828,748
8.578554,16.957606,749
7.531172,15.910224,750
9.825436,9.127182,751
8.72818,9.825436,752
10.374065,15.710723,753
9.625935,15.261845,754
9.376559,14.46384,755
6.533666,11.471322,756
9.426434,14.812968,757
12.718204,14.114713,758
9.177057,10.174564,759
6.433915,10.573566,760
10.374065,13.117207,761
12.369077,29.027431,762
9.127182,7.780549,763
11.870324,6.832918,764
7.082294,7.930175,765
6.633416,14.862843,766
13.665835,18.852868,767
7.082294,14.36409,768
7.98005,8.129676,769
8.578554,9.775561,770
8.977556,14.513716,771
7.780549,20.149626,772
8.329177,12.319202,773
12.568579,10.523691,774
7.531172,13.765586,775
10.224439,11.770574,776
10.174564,10.822943,777
7.481297,12.119701,778
8.72818,17.256858,779
10.024938,10.124688,780
10.673317,13.017456,781
7.780549,13.865337,782
10.074813,14.763092,783
7.13217,8.977556,784
9.476309,11.471322,785
9.127182,15.610973,786
12.269327,18.453865,787
8.578554,9.426434,788
8.428928,9.825436,789
9.625935,12.319202,790
11.670823,12.518703,791
8.179551,13.915212,792
11.022444,17.55611,793
8.379052,8.678304,794
10.374065,10.224439,795
6.433915,12.518703,796
12.917706,16.508728,797
7.281796,10.174564,798
8.778055,11.421446,799
8.179551,14.264339,800
8.927681,9.426434,801
7.381546,9.526185,802
7.98005,8.82793,803
10.473815,11.670823,804
10.773067,12.369077,805
7.281796,13.61596,806
9.426434,13.117207,807
8.82793,12.468828,808
10.074813,8.329177,809
7.431421,5.586035,810
8.279302,6.583541,811
10.024938,10.124688,812
10.074813,14.314214,813
10.124688,16.80798,814
6.882793,9.625935,815
8.977556,10.723192,816
10.573566,10.673317,817
10.224439,14.064838,818
9.925187,7.032419,819
11.970075,6.932668,820
7.680798,7.780549,821
11.471322,10.773067,822
9.925187,20.598504,823
7.182045,15.760599,824
7.431421,7.930175,825
13.316708,11.970075,826
9.177057,16.159601,827
8.578554,12.01995,828
10.523691,10.623441,829
10.174564,8.628429,830
7.531172,12.169576,831
11.571072,13.167082,832
8.877805,12.86783,833
11.870324,9.177057,834
8.877805,9.925187,835
8.279302,14.713217,836
8.279302,17.107232,837
9.276808,9.426434,838
11.421446,9.875312,839
8.678304,9.226933,840
12.219451,7.032419,841
9.476309,18.503741,842
10.224439,13.865337,843
10.024938,12.618454,844
7.032419,11.321696,845
9.177057,3.640898,846
8.528678,3.441397,847
13.815461,4.389027,848
7.730673,5.037406,849
10.374065,6.533666,850
10.374065,12.468828,851
9.426434,12.967581,852
10.822943,11.072319,853
7.381546,10.224439,854
9.426434,7.182045,855
11.9202,10.374065,856
7.98005,12.119701,857
9.326683,8.578554,858
7.531172,7.630923,859
11.022444,6.184539,860
7.431421,8.927681,861
7.23192,10.024938,862
8.82793,14.912718,863
9.925187,14.114713,864
9.975062,10.274314,865
7.730673,9.226933,866
12.219451,10.274314,867
7.780549,7.082294,868
8.578554,8.129676,869
10.32419,13.865337,870
10.024938,18.703242,871
7.23192,11.221945,872
9.875312,9.625935,873
12.817955,11.371571,874
7.581047,13.765586,875
10.673317,8.778055,876
12.069825,6.882793,877
8.528678,7.531172,878
10.224439,10.224439,879
8.578554,15.860349,880
8.279302,13.316708,881
10.224439,11.022444,882
6.683292,9.027431,883
10.024938,17.306733,884
9.177057,NA,885
8.628429,NA,886
8.029925,NA,887
8.82793,NA,888
9.326683,NA,889
8.528678,NA,890
9.426434,NA,891
14.314214,NA,892
6.284289,NA,893
9.376559,NA,894
11.17207,NA,895
9.077307,NA,896
9.57606,NA,897
11.421446,NA,898
7.481297,NA,899
10.922693,NA,900
10.773067,NA,901
8.977556,NA,902
10.374065,NA,903
9.326683,NA,904
10.523691,NA,905
9.925187,NA,906
8.129676,NA,907
8.678304,NA,908
8.778055,NA,909
12.468828,NA,910
8.428928,NA,911
10.124688,NA,912
7.13217,NA,913
12.119701,NA,914
7.680798,NA,915
10.374065,NA,916
8.528678,NA,917
10.274314,NA,918
7.431421,NA,919
7.680798,NA,920
7.930175,NA,921
10.174564,NA,922
9.326683,NA,923
7.680798,NA,924
9.625935,NA,925
7.730673,NA,926
9.625935,NA,927
10.024938,NA,928
8.977556,NA,929
8.428928,NA,930
11.571072,NA,931
8.528678,NA,932
8.229426,NA,933
10.024938,NA,934
12.169576,NA,935
7.381546,NA,936
9.625935,NA,937
11.421446,NA,938
8.977556,NA,939
7.032419,NA,940
10.32419,NA,941
13.266833,NA,942
8.927681,NA,943
7.381546,NA,944
8.977556,NA,945
11.27182,NA,946
8.0798,NA,947
8.778055,NA,948
14.513716,NA,949
8.329177,NA,950
8.927681,NA,951
8.628429,NA,952
10.773067,NA,953
7.381546,NA,954
8.678304,NA,955
8.229426,NA,956
8.578554,NA,957
9.625935,NA,958
11.620948,NA,959
11.221945,NA,960
9.476309,NA,961
7.23192,NA,962
11.17207,NA,963
7.331671,NA,964
6.783042,NA,965
9.526185,NA,966
11.620948,NA,967
7.331671,NA,968
10.673317,NA,969
8.428928,NA,970
8.329177,NA,971
12.219451,NA,972
12.219451,NA,973
9.027431,NA,974
11.221945,NA,975
8.478803,NA,976
10.872818,NA,977
6.284289,NA,978
7.930175,NA,979
11.321696,NA,980
6.832918,NA,981
7.082294,NA,982
8.977556,NA,983
6.633416,NA,984
9.526185,NA,985
7.730673,NA,986
9.027431,NA,987
7.830424,NA,988
10.224439,NA,989
10.972569,NA,990
8.628429,NA,991
7.680798,NA,992
7.481297,NA,993
8.329177,NA,994
9.177057,NA,995
11.321696,NA,996
8.279302,NA,997
7.930175,NA,998
12.269327,NA,999
11.221945,NA,1000
8.329177,NA,1001
8.927681,NA,1002
10.573566,NA,1003
7.730673,NA,1004
8.0798,NA,1005
8.379052,NA,1006
7.730673,NA,1007
10.374065,NA,1008
7.880299,NA,1009
8.72818,NA,1010
9.875312,NA,1011
6.982544,NA,1012
9.326683,NA,1013
9.925187,NA,1014
8.379052,NA,1015
8.778055,NA,1016
6.783042,NA,1017
8.379052,NA,1018
10.473815,NA,1019
10.473815,NA,1020
9.57606,NA,1021
8.229426,NA,1022
11.670823,NA,1023
6.832918,NA,1024
15.9601,NA,1025
7.581047,NA,1026
12.319202,NA,1027
11.221945,NA,1028
10.673317,NA,1029
8.628429,NA,1030
11.471322,NA,1031
6.882793,NA,1032
7.930175,NA,1033
9.526185,NA,1034
9.725686,NA,1035
8.528678,NA,1036
13.316708,NA,1037
8.0798,NA,1038
7.531172,NA,1039
9.775561,NA,1040
9.57606,NA,1041
8.82793,NA,1042
7.13217,NA,1043
8.877805,NA,1044
10.623441,NA,1045
9.177057,NA,1046
9.077307,NA,1047
7.182045,NA,1048
8.778055,NA,1049
12.119701,NA,1050
6.034913,NA,1051
9.177057,NA,1052
9.376559,NA,1053
7.730673,NA,1054
11.371571,NA,1055
9.376559,NA,1056
7.082294,NA,1057
